dataset,filename,setting,psnr,ssim,lpips
LSUI,1070.jpg,Full spatial guide,18.434890747070312,0.8001039624214172,0.3727548122406006
LSUI,1071.jpg,Zero guide,25.059478759765625,0.8988537788391113,0.21958616375923157
LSUI,1073.jpg,Zero guide,20.66916275024414,0.9271568655967712,0.22791361808776855
LSUI,1071.jpg,Uniform guide,32.28413009643555,0.9586610794067383,0.05922475829720497
LSUI,1073.jpg,Uniform guide,17.906415939331055,0.8696691393852234,0.3365579843521118
LSUI,1071.jpg,Raw-input guide,29.396879196166992,0.9578073024749756,0.08356375992298126
LSUI,1073.jpg,Raw-input guide,17.578516006469727,0.8624818921089172,0.3888082206249237
LSUI,1071.jpg,Cross-image guide,31.677642822265625,0.9579663276672363,0.05883241444826126
LSUI,1073.jpg,Cross-image guide,24.847412109375,0.9566354751586914,0.10197918862104416
LSUI,1071.jpg,Full spatial guide,31.906787872314453,0.9588486552238464,0.05862622708082199
LSUI,1073.jpg,Full spatial guide,17.982357025146484,0.8697891235351562,0.3305121660232544
LSUI,1074.jpg,Zero guide,22.021818161010742,0.5969581007957458,0.19176369905471802
LSUI,1075.jpg,Zero guide,22.46426773071289,0.8452748656272888,0.414167195558548
LSUI,1074.jpg,Uniform guide,19.443008422851562,0.5483942627906799,0.24313142895698547
LSUI,1075.jpg,Uniform guide,28.018949508666992,0.922007143497467,0.1573365330696106
LSUI,1074.jpg,Raw-input guide,22.542295455932617,0.582889974117279,0.18063884973526
LSUI,1075.jpg,Raw-input guide,27.86231803894043,0.922156810760498,0.14744487404823303
LSUI,1074.jpg,Cross-image guide,18.993078231811523,0.4757283627986908,0.2832874059677124
LSUI,1075.jpg,Cross-image guide,27.076303482055664,0.9201144576072693,0.2237650454044342
LSUI,1074.jpg,Full spatial guide,22.759357452392578,0.5854415893554688,0.17265231907367706
LSUI,1075.jpg,Full spatial guide,27.955171585083008,0.9207518696784973,0.1656995415687561
LSUI,1076.jpg,Zero guide,23.302997589111328,0.8798487782478333,0.1549394726753235
LSUI,1077.jpg,Zero guide,15.221824645996094,0.7502959370613098,0.3033931851387024
LSUI,1076.jpg,Uniform guide,28.058361053466797,0.9585618376731873,0.05963405966758728
LSUI,1077.jpg,Uniform guide,30.951814651489258,0.9621049761772156,0.045402418822050095
LSUI,1076.jpg,Raw-input guide,28.397624969482422,0.9562312960624695,0.09101171791553497
LSUI,1077.jpg,Raw-input guide,27.65300941467285,0.9545133113861084,0.06363701075315475
LSUI,1076.jpg,Cross-image guide,25.604724884033203,0.946601390838623,0.15444771945476532
LSUI,1077.jpg,Cross-image guide,29.397085189819336,0.9588300585746765,0.07310236245393753
LSUI,1076.jpg,Full spatial guide,28.04203224182129,0.9600195288658142,0.05928859859704971
LSUI,1077.jpg,Full spatial guide,27.835891723632812,0.9547942280769348,0.047389838844537735
LSUI,1078.jpg,Zero guide,21.250789642333984,0.9375559687614441,0.11392004042863846
LSUI,1079.jpg,Zero guide,21.30721092224121,0.9253154397010803,0.1473979651927948
LSUI,1078.jpg,Uniform guide,34.513946533203125,0.9861930012702942,0.01896810345351696
LSUI,1079.jpg,Uniform guide,33.81578826904297,0.9856169819831848,0.01847253553569317
LSUI,1078.jpg,Raw-input guide,31.337757110595703,0.9807069301605225,0.022746488451957703
LSUI,1079.jpg,Raw-input guide,32.24592590332031,0.984344482421875,0.022258330136537552
LSUI,1078.jpg,Cross-image guide,31.029260635375977,0.9799162745475769,0.02327531948685646
LSUI,1079.jpg,Cross-image guide,32.72641372680664,0.9848088622093201,0.022284140810370445
LSUI,1078.jpg,Full spatial guide,31.908817291259766,0.9816832542419434,0.021063700318336487
LSUI,1079.jpg,Full spatial guide,32.8488655090332,0.985598087310791,0.020062388852238655
LSUI,1080.jpg,Zero guide,21.39641571044922,0.8939743041992188,0.1391814947128296
LSUI,1081.jpg,Zero guide,21.30425262451172,0.9478073120117188,0.11859122663736343
LSUI,1080.jpg,Uniform guide,33.55010223388672,0.977673351764679,0.020028619095683098
LSUI,1081.jpg,Uniform guide,32.67798614501953,0.9865911602973938,0.01702306978404522
LSUI,1080.jpg,Raw-input guide,34.712921142578125,0.9726044535636902,0.027470577508211136
LSUI,1081.jpg,Raw-input guide,30.18101692199707,0.9839184880256653,0.019227031618356705
LSUI,1080.jpg,Cross-image guide,33.50733184814453,0.978996992111206,0.02565757744014263
LSUI,1081.jpg,Cross-image guide,28.99552345275879,0.9842522740364075,0.02723603881895542
LSUI,1080.jpg,Full spatial guide,36.16958236694336,0.9790053367614746,0.02120712772011757
LSUI,1081.jpg,Full spatial guide,29.67426109313965,0.9827058911323547,0.02789478749036789
LSUI,1082.jpg,Zero guide,16.721210479736328,0.8644601702690125,0.24645306169986725
LSUI,1083.jpg,Zero guide,23.23291015625,0.944847583770752,0.14098121225833893
LSUI,1082.jpg,Uniform guide,30.527257919311523,0.9756411910057068,0.026032550260424614
LSUI,1083.jpg,Uniform guide,28.109264373779297,0.977611780166626,0.031382523477077484
LSUI,1082.jpg,Raw-input guide,26.03215217590332,0.9622848629951477,0.04215952754020691
LSUI,1083.jpg,Raw-input guide,26.686630249023438,0.9734969139099121,0.03665595129132271
LSUI,1082.jpg,Cross-image guide,28.79123306274414,0.9679646492004395,0.062365949153900146
LSUI,1083.jpg,Cross-image guide,27.726558685302734,0.9774697422981262,0.0630803257226944
LSUI,1082.jpg,Full spatial guide,25.658781051635742,0.9598567485809326,0.05656629055738449
LSUI,1083.jpg,Full spatial guide,27.155757904052734,0.9751390814781189,0.03663329407572746
