dataset,filename,severity,spatial_score,method,psnr,ssim
LSUI,3070.jpg,Moderate,6.184009552001953,WWE-UIE,28.664573669433594,0.9137353897094727
LSUI,3071.jpg,Mild,4.575741291046143,WWE-UIE,28.080181121826172,0.8844631314277649
LSUI,3072.jpg,Mild,3.5843403339385986,WWE-UIE,27.79172706604004,0.9169921875
LSUI,3073.jpg,Severe,8.162246704101562,WWE-UIE,28.72124671936035,0.9050907492637634
LSUI,3074.jpg,Mild,3.6193289756774902,WWE-UIE,27.969249725341797,0.9378258585929871
LSUI,3075.jpg,Moderate,6.289558410644531,WWE-UIE,29.812042236328125,0.940610408782959
LSUI,3076.jpg,Moderate,6.935584545135498,WWE-UIE,30.165748596191406,0.9268782734870911
LSUI,3069.jpg,Moderate,6.677820682525635,Uniform guide,21.171648025512695,0.8288194537162781
LSUI,3070.jpg,Moderate,6.184009552001953,Uniform guide,29.737985610961914,0.9146394729614258
LSUI,3071.jpg,Mild,4.575741291046143,Uniform guide,18.544334411621094,0.8203778266906738
LSUI,3072.jpg,Mild,3.5843403339385986,Uniform guide,28.105365753173828,0.9165318012237549
LSUI,3073.jpg,Severe,8.162246704101562,Uniform guide,21.384883880615234,0.8579676151275635
LSUI,3074.jpg,Mild,3.6193289756774902,Uniform guide,22.670822143554688,0.9071723818778992
LSUI,3075.jpg,Moderate,6.289558410644531,Uniform guide,29.58443832397461,0.9438567757606506
LSUI,3076.jpg,Moderate,6.935584545135498,Uniform guide,29.20401382446289,0.9234501719474792
LSUI,3069.jpg,Moderate,6.677820682525635,PROTEUS,29.396665573120117,0.9052664637565613
LSUI,3070.jpg,Moderate,6.184009552001953,PROTEUS,31.134187698364258,0.9168963432312012
LSUI,3071.jpg,Mild,4.575741291046143,PROTEUS,28.68607521057129,0.8940302729606628
LSUI,3072.jpg,Mild,3.5843403339385986,PROTEUS,28.42303466796875,0.9184465408325195
LSUI,3073.jpg,Severe,8.162246704101562,PROTEUS,29.1290283203125,0.9058852195739746
LSUI,3074.jpg,Mild,3.6193289756774902,PROTEUS,27.872493743896484,0.9360659718513489
LSUI,3075.jpg,Moderate,6.289558410644531,PROTEUS,29.84784698486328,0.9451243877410889
LSUI,3076.jpg,Moderate,6.935584545135498,PROTEUS,29.155715942382812,0.9244449734687805
LSUI,3077.jpg,Mild,4.3470001220703125,Input,18.534996032714844,0.8064289093017578
LSUI,3078.jpg,Moderate,6.853799819946289,Input,23.293777465820312,0.8284978866577148
LSUI,3079.jpg,Mild,4.067289352416992,Input,21.503915786743164,0.7761260867118835
LSUI,3080.jpg,Mild,5.957526206970215,Input,22.313547134399414,0.8804497718811035
LSUI,3081.jpg,Severe,9.217418670654297,Input,19.516828536987305,0.7935517430305481
LSUI,3082.jpg,Moderate,6.9391865730285645,Input,22.356908798217773,0.8399161696434021
LSUI,3083.jpg,Mild,2.924832344055176,Input,16.45736312866211,0.788539469242096
LSUI,3084.jpg,Mild,4.552121639251709,Input,20.671823501586914,0.8181098103523254
LSUI,3077.jpg,Mild,4.3470001220703125,WWE-UIE,25.38791275024414,0.8827510476112366
LSUI,3078.jpg,Moderate,6.853799819946289,WWE-UIE,29.60420799255371,0.9107742309570312
LSUI,3079.jpg,Mild,4.067289352416992,WWE-UIE,27.377931594848633,0.8606142401695251
LSUI,3080.jpg,Mild,5.957526206970215,WWE-UIE,28.204710006713867,0.9159631133079529
LSUI,3081.jpg,Severe,9.217418670654297,WWE-UIE,27.076435089111328,0.904005229473114
LSUI,3082.jpg,Moderate,6.9391865730285645,WWE-UIE,27.26090431213379,0.9043123126029968
LSUI,3083.jpg,Mild,2.924832344055176,WWE-UIE,24.036636352539062,0.8962430953979492
LSUI,3084.jpg,Mild,4.552121639251709,WWE-UIE,27.267436981201172,0.8978652358055115
LSUI,3077.jpg,Mild,4.3470001220703125,Uniform guide,19.921323776245117,0.8053178191184998
